index,pcm_t,pcm_h,SP4_t,SP4_h,SP6_t,SP6_h
7648,43.31793,2.811702,43.35298,3.520847,43.3897,4.270914
7649,43.30076,2.802201,43.33498,3.50904,43.37276,4.25278
7650,43.28418,2.792182,43.31891,3.496754,43.3548,4.232816
7651,43.26653,2.782,43.30134,3.485566,43.33701,4.216352
7652,43.2496,2.773119,43.28379,3.473192,43.31975,4.197922
7653,43.23313,2.764844,43.26692,3.462141,43.30184,4.178662
7654,43.21552,2.756593,43.25074,3.449917,43.28474,4.160444
7655,43.19813,2.748095,43.23291,3.438779,43.26688,4.141965
7656,43.1825,2.739548,43.21453,3.427963,43.25018,4.123672
7657,43.16446,2.732485,43.19768,3.416517,43.23094,4.10654
7658,43.14719,2.724953,43.17971,3.405986,43.21459,4.087839
7659,43.12976,2.718141,43.16304,3.394282,43.19638,4.068977
7660,43.11336,2.70992,43.14594,3.383938,43.1794,4.052516
7661,43.09697,2.703158,43.12813,3.374261,43.16189,4.0341
7662,43.07887,2.696672,43.11114,3.362927,43.14387,4.015053
7663,43.06203,2.689548,43.09467,3.35267,43.12645,3.997095
7664,43.04465,2.682834,43.07713,3.342919,43.10938,3.97946
7665,43.02914,2.676865,43.0604,3.33276,43.09114,3.96144
7666,43.01104,2.670594,43.04254,3.324543,43.0734,3.943594
7667,42.99414,2.664028,43.0259,3.315758,43.05582,3.926701
7668,42.97781,2.6579,43.00884,3.305959,43.03832,3.908472
7669,42.95978,2.652182,42.99204,3.296704,43.0205,3.891272
7670,42.94293,2.647574,42.97376,3.287659,43.00325,3.872338
7671,42.92679,2.641854,42.95652,3.27901,42.98619,3.855286
7672,42.90907,2.636752,42.94006,3.269348,42.96817,3.838924
7673,42.89162,2.631964,42.9232,3.260125,42.95094,3.820313
7674,42.87603,2.627496,42.90626,3.252148,42.93306,3.802802
7675,42.85846,2.622358,42.88934,3.24425,42.91539,3.785453
7676,42.84172,2.617127,42.8723,3.236098,42.89801,3.767362
7677,42.8251,2.611914,42.855,3.22748,42.88127,3.751511
7678,42.807,2.607667,42.83808,3.220396,42.86289,3.734917
7679,42.79117,2.602964,42.8202,3.213496,42.84476,3.717963
7680,42.77408,2.598552,42.80313,3.205176,42.82867,3.700963
7681,42.75734,2.594034,42.7872,3.197357,42.81064,3.684209
7682,42.74054,2.589864,42.76975,3.189168,42.79364,3.66795
7683,42.7236,2.585533,42.75215,3.18107,42.77598,3.65137
7684,42.70648,2.581833,42.73538,3.173617,42.75874,3.634147
7685,42.68969,2.577947,42.71829,3.166942,42.74133,3.61758
7686,42.67328,2.574187,42.70205,3.160209,42.72284,3.60241
7687,42.65602,2.570536,42.68428,3.154135,42.70543,3.586398
7688,42.63902,2.566814,42.66742,3.147452,42.68838,3.571032
7689,42.62238,2.562995,42.6512,3.140196,42.6704,3.55303
7690,42.60586,2.559236,42.63309,3.13294,42.65297,3.538084
7691,42.58946,2.555525,42.61796,3.126995,42.63602,3.522087
7692,42.57238,2.552283,42.6,3.120194,42.61828,3.50677
7693,42.55545,2.549309,42.58267,3.1141,42.60089,3.491997
7694,42.5381,2.546285,42.56578,3.107194,42.58258,3.475615
7695,42.52186,2.542878,42.54812,3.10117,42.56563,3.459952
7696,42.50522,2.539475,42.532,3.095145,42.5484,3.444365
7697,42.48857,2.536258,42.51547,3.088858,42.53102,3.43037
7698,42.4711,2.533358,42.49778,3.08272,42.51261,3.415438
7699,42.45442,2.530284,42.48108,3.076978,42.49635,3.40005
7700,42.43794,2.527039,42.4636,3.070852,42.4779,3.385364
7701,42.4208,2.52386,42.44678,3.065398,42.46088,3.37121
7702,42.40384,2.521139,42.43016,3.060102,42.44363,3.3577
7703,42.38746,2.518656,42.41394,3.055002,42.4266,3.342052
7704,42.37008,2.516388,42.39544,3.049636,42.40982,3.327541
7705,42.35346,2.514226,42.37904,3.0444,42.39164,3.312176
7706,42.33668,2.51181,42.36182,3.038809,42.37426,3.299793
7707,42.32022,2.508987,42.34496,3.033445,42.3573,3.284492
7708,42.3029,2.506618,42.32836,3.028098,42.3398,3.27149
7709,42.28626,2.504338,42.31119,3.022946,42.32192,3.2563
7710,42.27012,2.501837,42.29454,3.018009,42.30476,3.244016
7711,42.25228,2.499479,42.27793,3.01321,42.2884,3.230633
7712,42.23637,2.497241,42.26118,3.008569,42.27008,3.215802
7713,42.21916,2.49489,42.24316,3.004046,42.2531,3.203754
7714,42.2025,2.492654,42.22623,2.999314,42.23574,3.19079
7715,42.18562,2.490473,42.20954,2.995015,42.21818,3.177122
7716,42.16928,2.488341,42.19266,2.990678,42.20043,3.165087
7717,42.15286,2.4866,42.17664,2.98601,42.18243,3.150354
7718,42.13546,2.484575,42.15987,2.981285,42.1652,3.136874
7719,42.11894,2.482592,42.14287,2.976324,42.1485,3.124209
7720,42.10246,2.480768,42.12587,2.97214,42.13148,3.112693
7721,42.08533,2.479058,42.10895,2.96786,42.1138,3.098889
7722,42.06951,2.477254,42.09219,2.963796,42.09556,3.086458
7723,42.0522,2.47553,42.07562,2.959294,42.0794,3.075154
7724,42.03504,2.473873,42.05921,2.95538,42.06329,3.061784
7725,42.018,2.472274,42.04184,2.951239,42.0448,3.049835
7726,42.00079,2.4705,42.02393,2.946937,42.028,3.038258
7727,41.98369,2.468873,42.00746,2.942703,42.01078,3.026089
7728,41.96826,2.467121,41.99106,2.938918,41.993,3.01429
7729,41.9514,2.465273,41.97434,2.93417,41.97662,3.001972
7730,41.9348,2.463247,41.95746,2.930015,41.95932,2.992622
7731,41.91826,2.461338,41.94046,2.92623,41.9414,2.98065
7732,41.90115,2.459629,41.9237,2.922317,41.92566,2.968953
7733,41.88526,2.45778,41.9069,2.918604,41.90756,2.955869
7734,41.86853,2.45613,41.89056,2.914917,41.89098,2.945778
7735,41.8515,2.454652,41.87334,2.911473,41.87351,2.934982
7736,41.83389,2.45344,41.85559,2.908094,41.85578,2.923544
7737,41.81797,2.452229,41.83896,2.904682,41.83835,2.913292
7738,41.79984,2.450966,41.82406,2.901512,41.82149,2.90262
7739,41.78363,2.449732,41.80558,2.897932,41.80381,2.891887
7740,41.76745,2.448332,41.78818,2.894128,41.78671,2.881858
7741,41.75028,2.446756,41.77209,2.890933,41.7699,2.870284
7742,41.734,2.445396,41.75556,2.887742,41.75312,2.860985
7743,41.71715,2.444168,41.7389,2.884465,41.73522,2.850535
7744,41.7008,2.442842,41.72237,2.881299,41.7181,2.840173
7745,41.68326,2.441446,41.70549,2.878086,41.70112,2.830342
7746,41.66634,2.440084,41.68852,2.874666,41.68429,2.820957
7747,41.65012,2.438845,41.67215,2.871678,41.66632,2.810162
7748,41.6331,2.437728,41.65424,2.868611,41.64922,2.801333
7749,41.61691,2.436686,41.63779,2.865664,41.6333,2.791355
7750,41.60024,2.435646,41.6206,2.862643,41.61575,2.782478
7751,41.58371,2.43466,41.60414,2.859632,41.59878,2.773625
7752,41.5669,2.4337,41.58738,2.856418,41.58098,2.765299
